"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GRM3",0,0.729155262852804,0.503,0.154,0,"Oligodendrocytes","GRM3"
"CNP",0,0.71950830597917,0.413,0.033,0,"Oligodendrocytes","CNP"
"FUT8",0,0.718976440010191,0.518,0.173,0,"Oligodendrocytes","FUT8"
"TMEFF2",0,0.703183688560807,0.511,0.206,0,"Oligodendrocytes","TMEFF2"
"HHIP",0,0.698216501103693,0.382,0.017,0,"Oligodendrocytes","HHIP"
"APLP1",0,0.693744642088931,0.459,0.099,0,"Oligodendrocytes","APLP1"
"UGT8",0,0.692667179126135,0.418,0.031,0,"Oligodendrocytes","UGT8"
"LAMP2",0,0.6915263031085,0.438,0.058,0,"Oligodendrocytes","LAMP2"
"PXK",0,0.691257793130787,0.43,0.055,0,"Oligodendrocytes","PXK"
"POLR2F",0,0.690916914175659,0.402,0.041,0,"Oligodendrocytes","POLR2F"
"QDPR",0,0.690679977013032,0.4,0.043,0,"Oligodendrocytes","QDPR"
"CLASP2",0,0.679959642710149,0.658,0.424,0,"Oligodendrocytes","CLASP2"
